id,name,average_rating,rank,min_players,max_players,playing_time,min_playtime,max_playtime,publishers,categories
57,Schoko & Co.,6.64771,5868,2,4,180,180,180,['Schmidt Spiele'],['Economic']
58,Kings & Things,6.51432,3346,2,4,180,60,180,"['Games Workshop Ltd.', 'West End Games', 'Z-Man Games', 'Hobby Japan', 'Pegasus Spiele']","['Bluffing', 'Exploration', 'Fantasy', 'Humor', 'Territory Building', 'Wargame']"
59,Giganten,6.69945,2931,3,4,90,90,90,['KOSMOS'],"['Economic', 'Exploration', 'Industry / Manufacturing']"
60,Vinci,7.06906,1184,3,6,120,120,120,['Descartes Editeur'],"['Ancient', 'Civilization', 'Territory Building']"
61,Fossil,5.43729,24701,2,6,40,40,40,"['Goldsieber Spiele', 'Rio Grande Games']",['Ancient']
62,Curse of the Mummy's Tomb,5.30169,25525,1,4,120,120,120,"['Games Workshop Ltd.', 'Sfera']","['Adventure', 'Ancient', 'Horror']"
63,Samurai: Game of Politics and Warfare in Feudal Japan,6.44004,6841,2,8,180,180,180,"['The Avalon Hill Game Co', 'Battleline']","['Medieval', 'Political', 'Wargame']"
64,Joan of Arc,6.26182,7605,3,6,150,150,150,"['Clash of Arms Games', 'Tilsit', 'Truant Spiele']","['Card Game', 'Medieval', 'Political', 'Wargame']"
65,The Garden Game,4.08929,Not Ranked,2,6,30,30,30,['Ampersand Press'],['Card Game']
66,Löwenherz,7.04415,1553,2,4,90,90,90,"['Goldsieber Spiele', 'Rio Grande Games']","['Medieval', 'Political']"
67,Conquest,6.3987,7290,2,4,120,120,120,"['(Self-Published)', 'Bütehorn Spiele (Buchholz Verlag)', 'Hexagames (I)', 'Numbskull Games', 'Quest Games']","['Abstract Strategy', 'Ancient', 'Wargame']"
68,Successors (First/Second Edition),7.03753,4517,2,4,180,180,180,"['The Avalon Hill Game Co', 'Wydawnictwo Gołębiewski']","['Ancient', 'Wargame']"
69,Bollox,6.7,16157,2,2,20,20,20,"['Cadaco', 'The London Game Company LTD']",['Abstract Strategy']
70,Big City,6.85653,1936,2,5,60,60,60,"['Goldsieber Spiele', '999 Games', 'Rio Grande Games']",['City Building']
71,Civilization,7.49443,448,2,7,360,360,360,"['Hartland Trefoil Ltd.', 'ACE Pelit Oy', 'The Avalon Hill Game Co', 'Compendium Games', 'Descartes Editeur', 'Gibsons', 'Joc Internacional', 'Piatnik', 'Spiel & Kunst', 'Welt der Spiele']","['Ancient', 'Civilization', 'Economic', 'Negotiation']"
72,Verräter,6.67782,2537,3,4,60,60,60,"['Adlung-Spiele', 'New Games Order, LLC']","['Card Game', 'Political']"
73,Show Manager,6.98138,2091,2,6,60,60,60,"['Queen Games', 'db-Spiele']",['Card Game']
74,Apples to Apples,5.75234,7042,4,10,30,20,30,"['Beverly Enterprises, Inc.', 'Excalibur Electronics', 'Holiday Games', 'Mattel, Inc.', 'Out of the Box Publishing', 'Pegasus Spiele', 'Tactic']","['Card Game', 'Humor', 'Party Game']"
75,Falling,5.49781,24182,4,8,5,5,5,"['Cheapass Games', 'Paizo Publishing', 'Portal Games', 'Titanic Games']","['Card Game', 'Fantasy', 'Print & Play', 'Real-time']"
76,Air Baron,6.40734,5261,2,6,120,120,120,['The Avalon Hill Game Co'],"['Aviation / Flight', 'Economic', 'Territory Building']"
77,"EastFront: The War in Russia, 1941-45",7.67916,2805,2,2,240,240,240,['Columbia Games'],"['Wargame', 'World War II']"
78,"WestFront: The War in Europe, 1943-45",6.85903,8230,2,2,240,240,240,['Columbia Games'],"['Wargame', 'World War II']"
79,MedFront: War in North Africa 1940-43,6.34016,12507,2,2,180,180,180,['Columbia Games'],"['Wargame', 'World War II']"
80,VolgaFront: East of EastFront 1942-43,7.57536,Not Ranked,2,2,240,240,240,['Columbia Games'],"['Expansion for Base-game', 'Wargame', 'World War II']"
81,"EuroFront: War in Europe, 1939-45",7.08229,Not Ranked,2,6,600,600,600,['Columbia Games'],"['Expansion for Base-game', 'Wargame', 'World War II']"
82,Bobby Lee: The Civil War in Virginia 1861-1865,6.75491,6023,2,2,240,240,240,['Columbia Games'],"['American Civil War', 'Wargame']"
83,Sam Grant: The Civil War in the West 1862-1864,6.42466,11674,2,2,180,180,180,['Columbia Games'],"['American Civil War', 'Wargame']"
84,Rommel in the Desert,7.55209,2065,2,2,480,180,480,"['Columbia Games', 'Doit Games', 'Game Preserve']","['Wargame', 'World War II']"
85,Quebec 1759,6.94288,3846,2,2,60,60,60,"['Columbia Games', 'Gamma Two Games']","['Age of Reason', 'American Indian Wars', 'Wargame']"
,,,,,,,,,,
87,Victory: World War II,6.36678,6988,2,4,120,120,120,"['Columbia Games', 'Tilsit']","['Wargame', 'World War II']"
88,Torres,7.08827,731,2,4,60,60,60,"['F.X. Schmid', 'HUCH!', 'ABACUSSPIELE', 'Devir', 'IDW Games', 'Ravensburger', 'Rio Grande Games', 'Swan Panasia Co., Ltd.', 'Tilsit', 'White Goblin Games']","['Abstract Strategy', 'Medieval']"
89,Blue vs. Gray,6.73897,5389,2,4,120,120,120,"['GMT Games', 'QED Games']","['American Civil War', 'Card Game', 'Dice', 'Wargame']"
90,Star Wars: Episode 1 – Clash of the Lightsabers,6.20751,6488,2,2,20,20,20,"['Hasbro', 'Milton Bradley']","['Card Game', 'Movies / TV / Radio theme', 'Science Fiction']"
91,Paths of Glory,8.06346,230,2,2,480,480,480,"['GMT Games', 'Devir', 'DiceTree Games', 'GaGa Games', 'Udo Grebe Gamedesign', 'Wargames Club Publishing', 'Wydawnictwo Gołębiewski']","['Wargame', 'World War I']"
,,,,,,,,,,
