id,username,yearregistered,lastlogin,country,geekfriends,geekfriends_total,guilds,guild_total
359223,Sugi,2010,2024-06-21,United States,"['Aiken Drum', 'angel3233', 'artloeb', 'atraangelis', 'bkunes', 'Butterfly0038', 'catastrophic', 'Deep Silver', 'DigitalMan', 'eknauer', 'ekted', 'entwife', 'erzengel', 'FreeCake', 'Friendless', 'frienetic', 'Futsie', 'Gamegrunt', 'Hex_Enduction_Hour', 'hinotori', 'indigopotter', 'jayboy', 'jmw23', 'joeincolorado', 'JohnBandettini', 'jrgause', 'lacxox', 'larryjrice', 'lengthtoavoid', 'loofish', 'lorna', 'Luthien', 'Mamadallama', 'Melosh007', 'milenaguberinic', 'olavf', 'rahdo', 'Rob in Richmond', 'sa266', 'SapoLJackson', 'sedjtroll', 'senorcoo', 'SGHughes', 'SlikkRikk', 'spearjr', 'Sphere', 'sunshiny', 'UnknownParkerBrother', 'william4192', 'zugman']",50,"['24', '193', '325', '350', '371', '477', '481', '767', '1075', '1095', '1145', '1242', '1259', '1267', '1303', '3366']",16
459225,Canard1664,2012,2024-06-10,France,[],0,[],0
730196,axmangeorge,2013,2023-04-07,United States,[],0,[],0
543392,NobWallace,2012,2024-06-29,Spain,[],0,['2914'],1
2909973,Kormi777,2021,2024-06-28,Hungary,[],0,[],0
3847848,Mistwoodq,2024,2024-06-20,Ukraine,[],0,[],0
3765778,JohnRozmaryn,2024,2024-01-14,United States,[],0,[],0
3527671,ww390227,2023,2023-04-22,China,[],0,[],0
3585838,nicruise,2023,2023-07-04,Vietnam,[],0,[],0
2234395,DaveGelato,2019,2024-05-05,United States,[],0,[],0
424803,xpando,2011,2023-01-26,United States,[],0,[],0
1804381,tablo93,2018,2023-05-07,Finland,[],0,[],0
3650565,Nikos78120,2023,2023-09-19,France,[],0,[],0
55987,Sjoerd Wenings,2005,2024-06-30,Netherlands,"['arakh', 'bordspeler', 'Earthshaker', 'hder', 'henk.rolleman', 'JanPrix', 'ouagaman', 'Piet Wenings', 'the_vinman', 'threepioartoo']",10,"['24', '746', '867', '1303', '3835']",5
3654894,Mataga0402,2023,2023-09-24,France,[],0,[],0
233261,KCheatgever,2008,2024-06-27,Belgium,"['Bernie_be', 'stofke']",2,[],0
3361632,Salvo55,2022,2024-04-04,United States,[],0,[],0
2814371,pentaoxido,2021,2021-01-11,Spain,[],0,[],0
2948963,juali,2021,2021-06-04,Argentina,[],0,[],0
2769955,UnboughtStuffedDog,2020,2024-06-30,Germany,"['1qwerty', 'Axel73', 'CotB', 'DadouXIII', 'diary_of_a_bgg', 'larryjrice', 'MikeKoro', 'neatbender', 'poypoyking']",9,[],0
2876633,Pavel240k,2021,2021-03-10,Ukraine,[],0,[],0
1430050,skunkie123,2016,2021-06-17,United Kingdom,[],0,[],0
863896,StephenWhitehead,2014,2023-01-12,United Kingdom,[],0,[],0
3606449,pikunlenka,2023,2023-10-04,India,[],0,[],0
2830175,Browneyedgranny,2021,2021-01-25,United States,[],0,[],0
2838685,nat711,2021,2021-02-01,Switzerland,[],0,[],0
2847823,Highway71,2021,2024-06-25,Netherlands,[],0,[],0
3826227,gitanaarteaga,2024,2024-06-24,United States,[],0,[],0
3848911,Cucurbita,2024,2024-04-18,Italy,[],0,[],0
3096338,speed0207,2021,2021-12-14,South Korea,[],0,[],0
3437433,TypeOfJane,2023,2023-09-23,United States,[],0,[],0
3715322,Spartra,2023,2023-12-08,United States,[],0,[],0
2026117,juanicor,2019,2024-06-30,Spain,[],0,[],0
3222864,ayozayo,2022,2024-06-30,Czech Republic,[],0,[],0
3786986,Thecat123,2024,2024-06-22,France,[],0,[],0
83131,aledrugo1977,2006,2024-06-28,Italy,"['EVD_74', 'Guglia', 'revnye', 'stec74']",4,[],0
782474,zyborg,2013,2023-06-20,United States,[],0,[],0
3357745,juanma42,2022,2024-01-06,Spain,['Delenya'],1,[],0
3875145,Pikkkk,2024,2024-05-05,India,[],0,[],0
2369553,sydneytw,2019,2021-12-17,Canada,[],0,[],0
3072126,KillingJoke72,2021,2024-06-30,United States,[],0,[],0
2823992,Ravensburger_Games,2021,2023-05-04,United States,[],0,[],0
2241228,grizlyadams,2019,2023-05-01,United States,[],0,[],0
2475952,dhgudtjr1,2020,2021-02-07,South Korea,[],0,[],0
3458440,hjmatta,2023,2024-04-26,Colombia,[],0,[],0
408755,coyotetim,2011,2021-08-01,United States,[],0,[],0
3429844,Nembowe,2023,2023-01-22,Spain,[],0,[],0
2846966,joshiparas,2021,2021-02-25,United Kingdom,[],0,[],0
3797258,Folgore102,2024,2024-02-20,United States,[],0,[],0
62770,Mr Freedly,2005,2024-03-20,United States,"['BoardsAndBits', 'emcher', 'JohnnyRyce', 'Kadorus', 'kevruth', 'Malicious Compliance', 'RedHawk', 'tamawakit61', 'TheCknNek']",9,['800'],1
3809740,kisseu,2024,2024-05-07,Philippines,[],0,[],0
3553636,erdempusat,2023,2023-07-25,Turkey,[],0,[],0
2367734,mickydude16,2019,2021-01-31,Canada,[],0,[],0
2067526,jonadare,2019,2024-02-04,Argentina,[],0,[],0
3305107,seaonfireid,2022,2024-06-26,Indonesia,[],0,[],0
3706950,pink211123,2023,2023-11-21,Vietnam,[],0,[],0
3427656,Cugino69,2023,2023-01-17,France,[],0,[],0
81739,Lord_Slappy,2006,2021-07-05,United States,"['ghenson', 'RKFade', 'rmartinc', 'Valien', 'Wargamer777']",5,['169'],1
3684056,Ernur,2023,2023-10-28,Kazakhstan,[],0,[],0
3244049,Okilla85,2022,2023-12-03,United States,[],0,[],0
1452246,Sabaen,2016,2024-03-10,South Africa,['lfcoelho'],1,[],0
3183723,tmbgamer,2022,2024-06-29,United States,[],0,['1303'],1
884166,nompangi,2014,2021-05-29,South Korea,[],0,[],0
2818877,Chyszuniu,2021,2021-01-15,Poland,[],0,[],0
495079,ciidiic,2012,2024-03-02,United States,"['Eroizzy', 'metalfacekevin']",2,"['1303', '2998']",2
3094129,Wamilton13,2021,2021-12-11,United States,[],0,[],0
2357922,adrian_arribas,2019,2021-06-22,Spain,[],0,[],0
2128711,leonard69,2019,2023-12-17,France,[],0,[],0
3739043,acmhudson,2023,2023-12-26,United States,[],0,[],0
2964913,enigmazero,2021,2023-06-09,United States,[],0,[],0
